ORDER_ID,CUSTOMER_CD,GROUP_CD,ORDER_CLASS,VEHICLE_CLASS,VEHICLE_OPTION,VEHICLE_TYPE,VEHICLE_SCALE,SHIPPER_CD,BOX_TYPE,BOX_SIZE,ORDER_TEMPERATURE,ORDER_TYPE,ORDER_VOLUME,ORDER_WEIGHT,ORDER_BOX,ORDER_COST,STATUS,P_X,P_Y,P_LOCATION_NM,P_ADDRESS,P_SUB_ADDRESS,P_ZIP_CODE,P_PNU,D_X,D_Y,D_LOCATION_NM,D_ADDRESS,D_SUB_ADDRESS,D_ZIP_CODE,D_PNU,P_ORDER_DATE,P_SLA_TIME,P_OPEN_TIME,P_CLOSE_TIME,D_ORDER_DATE,D_SLA_TIME,D_OPEN_TIME,D_CLOSE_TIME,LOADING_TYPE,P_EST_PROC_TIME,UNLOADING_TYPE,D_EST_PROC_TIME,ENABLE_PACKAGE,ENABLE_REV_NEGO,REMARK,P_MGR_NM,P_CONTACT,D_MGR_NM,D_CONTACT
00000020,00000191,0000000000_0000000000,,,0,0,1001,shipper2,0,0,0,2,0,0,0,0,,126.610064,37.4537523,,인천 중구 항동7가 27-46 (축항대로 124) 축항대로 124,,,,126.7229279,37.6614837,D_20,경기 고양시 일산서구 법곳동 239-1 (법곳길115번길 82-25) 법곳길115번길 82-25 1층 로건,,,,20210604,14:14,0,0,20210604,0,0,0,2,0,0,0,2,2,라보/일반,,,,
00000021,00000191,0000000000_0000000000,,,0,0,1000,shipper2,0,0,0,0,0,0,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,126.8988897,37.169201,D_21,경기도 화성시 시청로1000(구장리)2동한빛엠테크,,,,20210607,0:0,0,0,20210607,0,0,0,0,0,1,0,0,0,1톤,,,,
00000022,00000191,0000000000_0000000000,,,0,0,1001,shipper3,0,0,0,3,0,0,0,0,,129.096669,35.1196731,,북항/용당물류보세창고,,,,126.8342171,37.6261625,D_22,경기도 고양시 덕양구 백양로8 1705동 1104호,,,,20210607,0:0,0,0,20210607,0,0,0,0,0,2,0,2,0,,,,,
00000023,00000191,0000000000_0000000000,,,0,0,1000,shipper3,0,0,0,2,0,0,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,126.8630725,37.527534,D_23,서울 양천구 신정동 890-15,,,,20210607,0:0,0,0,20210607,0,0,0,0,0,0,0,0,0,1톤,,,,
00000024,00000191,0000000000_0000000000,,,0,0,1000,shipper1,0,0,0,1,0.1,66,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,126.8886222,37.6432635,D_24,"경기도 고양시 덕양구 세솔로 25, 2209-704호 (동산동 365)",,,,20210607,0:0,0,0,20210607,0,0,0,0,0,0,0,2,0,1톤,,,,
00000025,00000191,0000000000_0000000000,,,0,0,1400,shipper1,0,0,0,0,6.8,1009,0,0,,126.608908599999,37.4567562,,인천항/세광물류,,,,127.2006442,37.5474367,D_25,경기도 하남시 덕풍동 301,,,,20210607,0:0,0,0,20210607,0,0,0,0,0,0,0,0,0,1.4톤카고,,,,
00000026,00000191,0000000000_0000000000,,,0,0,1999,shipper2,0,0,0,2,6.38,1292,0,0,,126.6257876,37.4309457,,인천 중구 신흥동3가 69-6 (서해대로94번길 98-1) 서해대로94번길 98-1,,,,126.6773504,37.474522,D_26,인천 미추홀구 주안동 1385-10 (방축로 312) 방축로 312 5층 5187,,,,20210607,09:31,0,0,20210607,0,0,0,0,0,0,0,2,0,1톤+/카고,,,,
00000027,00000191,0000000000_0000000000,,,0,0,1000,shipper2,0,0,0,2,2.5,291,0,0,,126.6183442,37.4496946,,인천 중구 항동7가 92-1 (축항대로212번길 49) 축항대로212번길 49,,,,126.9128157,37.5529502,D_27,서울 마포구 서교동 482-9 (월드컵로8길 69) 1층 커스텀아츠,,,,20210607,14:09,0,0,20210607,0,0,0,0,0,0,0,0,0,1톤/카고,,,,
00000028,00000191,0000000000_0000000000,,,0,0,1000,shipper3,0,0,0,3,2.55,272,0,0,,126.6268858,37.4468268,,인천항/태평양물류(주) 보세창고,,,,127.3134833,37.394651,D_28,경기도 광주시 초월읍 산수로 378-11,,,,20210608,0:0,0,0,20210608,0,0,0,1,0,0,0,2,1,1톤,,,,
00000029,00000191,0000000000_0000000000,,,0,0,1000,shipper2,0,0,0,2,1.4,86,0,0,,126.6187023,37.4512648,,인천항/백마보세창고,,,,126.7837587,37.6665733,D_29,경기도 고양시 일산동구 정발산동 1334-8,,,,20210608,0:0,0,0,20210608,0,0,0,2,7,0,0,0,2,1톤,,,,
00000030,00000191,0000000000_0000000000,,,0,0,1001,shipper2,0,0,0,3,1.18,180,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,126.7837587,37.6665733,D_30,경기도 고양시 일산동구 정발산동 1334-8,,,,20210608,0:0,0,0,20210608,0,0,0,0,7,1,0,2,0,,,,,
00000031,00000191,0000000000_0000000000,,,0,0,1000,shipper3,0,0,0,3,0.12,27,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,127.2270877,37.6505286,D_31,경기도 남양주시 경춘로 1209번길 27 품고 1센터,,,,20210608,0:0,0,0,20210608,0,0,0,1,7,2,8,0,1,1톤,,,,
00000032,00000191,0000000000_0000000000,,,0,0,1000,shipper1,0,0,0,3,2.5,303,0,0,,126.6187023,37.4512648,,인천항/백마보세창고,,,,127.1154196,37.813445,D_32,경기도 양주시 어하고개로 202 (주)피플스토리 3pl창고,,,,20210608,0:0,0,0,20210608,0,0,0,2,7,0,8,2,2,1톤,,,,
00000033,00000191,0000000000_0000000000,,,0,0,1000,shipper1,0,0,0,0,3.82,426,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,127.0708756,37.5505686,D_33,"서울시 광진구 군자로 83, 3층",,,,20210608,0:0,0,0,20210608,0,0,0,0,0,1,8,0,0,1톤,,,,
00000034,00000191,0000000000_0000000000,,,0,0,1001,shipper2,0,0,0,2,1.23,204,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.9582381,37.3769765,D_34,경기 안양시 동안구 호계동 1287 (경수대로610번길 36) 경수대로610번길 36 평촌더샵아이파크 105동 603호,,,,20210608,09:40,0,0,20210608,0,0,0,0,0,2,8,2,0,다마스/일반,,,,
00000035,00000191,0000000000_0000000000,,,0,0,1002,shipper2,0,0,0,1,0.29,99,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.6773504,37.474522,D_35,인천 미추홀구 주안동 1385-10 (방축로 312) 방축로 312 5층 518호,,,,20210608,14:51,0,0,20210608,0,0,0,0,0,0,0,0,0,다마스/일반,,,,
00000036,00000191,0000000000_0000000000,,,0,0,1000,shipper3,0,0,0,3,2.12,1002,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,127.2276638,37.5216976,D_36,경기도 하남시 검단로56(하산곡동),,,,20210609,0:0,0,0,20210609,0,0,0,1,0,0,0,2,1,1톤,,,,
00000037,00000191,0000000000_0000000000,,,0,0,2000,shipper1,0,0,0,0,5.6,630,0,0,,126.6268858,37.4468268,,인천항/태평양물류,,,,127.204026,37.53314,D_37,경기도 하남시 신장로 77번길 107 안진팜메디,,,,20210609,0:0,0,0,20210609,0,0,0,2,0,0,0,0,2,2톤,,,,
00000038,00000191,0000000000_0000000000,,,0,0,1000,shipper2,0,0,0,1,3.4,354,0,0,,126.6340085,37.4672372,,인천항/영진공사 종합보세사업장,,,,127.0599193,37.2854331,D_38,경기도 수원시 영통구 광교중앙로 248번길 7-3 (우연법전프라자 604호),,,,20210609,0:0,0,0,20210609,0,0,0,0,0,1,0,0,0,1톤,,,,
00000039,00000191,0000000000_0000000000,,,0,0,1000,shipper1,0,0,0,1,0.78,189,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,128.9763452,35.060184,D_39,부산 사하구 다대동 281 (다대로497번길 20) 다대로497번길 20 라온아토 (라온혜윰),,,,20210609,09:29,0,0,20210609,0,0,0,1,0,2,0,2,1,1톤/카고,,,,
00000040,00000191,0000000000_0000000000,,,0,0,1000,,0,0,0,0,1.29,143,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,129.0657696,35.1646814,D_40,부산 부산진구 전포동 554-2 (전포대로306번길 10) 전포대로306번길 10 대우리치빌 102호,,,,20210609,09:32,0,0,20210609,0,0,0,2,0,0,0,0,2,1톤/카고,,,,
